CNPJ,Valor_corrigido,Anomalia,k
09296295000160,2965.4,0,2
09296295000160,463.17,0,2
09296295000160,685.69,0,2
09296295000160,1756.36,0,2
09296295000160,563.75,0,2
09296295000160,931.26,0,2
09296295000160,1528.94,0,2
09296295000160,968.72,0,2
09296295000160,1453.33,0,2
09296295000160,1506.44,0,2
09296295000160,2723.37,0,2
09296295000160,1246.2,0,2
09296295000160,2108.96,0,2
09296295000160,352.4,0,2
09296295000160,567.22,0,2
09296295000160,1783.77,0,2
09296295000160,1594.98,0,2
09296295000160,1896.62,0,2
09296295000160,6102.82,0,2
09296295000160,2469.72,0,2
09296295000160,597.17,0,2
09296295000160,2069.74,0,2
09296295000160,5514.87,0,2
09296295000160,1413.72,0,2
09296295000160,2474.1,0,2
09296295000160,4940.87,0,2
09296295000160,2577.19,0,2
09296295000160,1665.8,0,2
09296295000160,4517.02,0,2
09296295000160,1747.82,0,2
09296295000160,5251.36,0,2
09296295000160,2939.59,0,2
09296295000160,2569.68,0,2
09296295000160,3075.12,1,2
09296295000160,1733.12,0,2
09296295000160,5503.8,0,2
09296295000160,8717.21,1,2
09296295000160,2464.54,0,2
09296295000160,4800.82,0,2
09296295000160,1402.21,0,2
09296295000160,647.65,0,2
09296295000160,665.57,0,2
09296295000160,1470.83,0,2
09296295000160,1852.01,0,2
09296295000160,3312.72,1,2
09296295000160,996.24,0,2
09296295000160,325.63,0,2
09377324000118,41.53,0,5
09377324000118,104.34,0,5
09377324000118,30.54,0,5
09377324000118,23.02,0,5
09377324000118,28.81,0,5
09377324000118,21.98,0,5
09377324000118,144.6,1,5
09377324000118,102.74,0,5
