Data,CNPJ,Valor,Valor_corrigido
2013-03-01,00248893000199,189.0,333.19
2013-03-01,07745113000165,28.0,49.36
2013-03-01,08910976000103,7.75,13.66
2013-03-01,13057984000199,182.5,321.73
2013-03-01,55334262000184,92.42,162.93
2013-03-01,61291845000178,263.5,464.52
2013-03-01,72908353002220,6.0,10.58
2013-03-01,05099646000191,300.0,528.87
2013-03-01,43963933000197,30.9,54.47
2013-03-01,07499995000207,47.63,83.97
2013-03-01,16984731000159,35.9,63.29
2013-03-01,73152423000109,722.2,1273.16
2013-03-01,12980232000132,22.4,39.49
2013-03-01,,18.0,31.73
2013-03-01,07807726000180,51.5,90.79
2013-03-01,08258314000109,60.7,107.01
2013-03-01,09358388000171,60.0,105.77
2013-03-01,09456704000148,46.92,82.72
2013-03-01,14816328000195,63.61,112.14
