"Data","CNPJ","Valor_corrigido"
"2018-04-01","05371068000109",242.95
"2018-04-01","13232868000169",629.44
"2018-04-01","42591651017542",70.2
"2018-04-01","45007937000127",369.25
"2018-04-01","58231580000108",82.59
"2018-04-01","",62.63
"2018-04-01","00144516000100",63.09
"2018-04-01","00331128000138",42.29
"2018-04-01","03300974004923",93.77
"2018-04-01","09060964010910",30.54
"2018-04-01","09456550000194",27.01
"2018-04-01","10242653000130",215.18
"2018-04-01","17261661000254",97.86
"2018-04-01","26293624000138",11.74
"2018-04-01","60496585000104",422.92
"2018-04-01","64770167000629",21.14
"2018-04-01","96676101000156",294.08
"2018-04-01","20401310000125",1226.49
"2018-04-01","09535195000149",82.72
"2018-04-01","25167333000130",451.45
"2018-04-01","33937681000178",5484.8
"2018-04-01","11100611000128",354.94
"2018-04-01","11757610000150",60.74
"2018-04-01","24604174000121",244.37
"2018-04-01","47882485000158",406.07
"2018-04-01","02012862000160",2536.37
"2018-04-01","59965038000141",1479.62
"2018-04-01","61084018000103",153.05
"2018-04-01","",120.69
"2018-04-01","04147462000197",333.7
"2018-04-01","05356318000123",65.24
"2018-04-01","07985900000699",35.44
"2018-04-01","09060964006998",45.05
"2018-04-01","11775233000182",59.37
"2018-04-01","14313603000158",50.05
"2018-04-01","15320413000120",541.48
"2018-04-01","20586592000344",42.8
"2018-04-01","21217675000167",21.1
"2018-04-01","23611803000188",83.38
"2018-04-01","23792429000164",78.42
"2018-04-01","24330738000185",31.31
"2018-04-01","42591651129855",24.14
"2018-04-01","47396056000170",41.75
"2018-04-01","51667335000107",25.18
"2018-04-01","59810952000113",280.4
"2018-04-01","62505847001742",127.15
"2018-04-01","01912390000139",344.12
"2018-04-01","18468081000114",559.75
"2018-04-01","20913382000151",1276.07
"2018-04-01","",70.46
"2018-04-01","05566254000195",339.24
"2018-04-01","14335331000197",5547.92
"2018-04-01","96649835000146",370.56
"2018-04-01","",173.27
"2018-04-01","00019755000138",251.82
"2018-04-01","12764519000125",486.68
"2018-04-01","13232868000169",222.65
